year,datanum,serial,hhwt,region
2014,1,1,5200,32
2014,1,1,5200,32
2014,1,1,5200,32
2014,1,1,5200,32
2014,1,1,5200,32
2014,1,1,5200,32
2014,1,2,30000,32
2014,1,2,30000,32
2014,1,3,9100,32
2014,1,3,9100,32
2014,1,4,2500,32
2014,1,4,2500,32
2014,1,4,2500,32
2014,1,4,2500,32
2014,1,4,2500,32
2014,1,4,2500,32
2014,1,4,2500,32
2014,1,4,2500,32
2014,1,5,24900,32
2014,1,5,24900,32
2014,1,5,24900,32
2014,1,5,24900,32
2014,1,6,900,32
2014,1,7,6900,32
2014,1,8,9300,32
2014,1,9,7700,32
2014,1,9,7700,32
2014,1,9,7700,32
2014,1,10,5100,32
2014,1,11,8100,32
2014,1,11,8100,32
2014,1,12,13700,32
2014,1,12,13700,32
2014,1,13,7700,32
2014,1,14,7600,32
2014,1,14,7600,32
2014,1,15,8100,32
2014,1,16,15600,32
2014,1,16,15600,32
2014,1,17,4900,32
2014,1,17,4900,32
2014,1,17,4900,32
2014,1,17,4900,32
2014,1,18,17000,32
2014,1,18,17000,32
2014,1,18,17000,32
2014,1,18,17000,32
2014,1,19,11200,32
2014,1,19,11200,32
2014,1,20,44600,32
2014,1,20,44600,32
2014,1,20,44600,32
2014,1,21,6600,32
2014,1,21,6600,32
2014,1,22,3900,32
2014,1,23,7600,32
2014,1,23,7600,32
2014,1,23,7600,32
2014,1,24,19900,32
2014,1,24,19900,32
2014,1,25,3000,32
2014,1,25,3000,32
2014,1,25,3000,32
2014,1,25,3000,32
2014,1,26,6000,32
2014,1,27,5500,32
2014,1,28,7100,32
2014,1,28,7100,32
2014,1,29,1500,32
2014,1,29,1500,32
2014,1,29,1500,32
2014,1,29,1500,32
2014,1,30,8700,32
2014,1,31,4700,32
2014,1,31,4700,32
2014,1,32,8000,32
2014,1,32,8000,32
2014,1,32,8000,32
2014,1,33,14900,32
2014,1,33,14900,32
2014,1,33,14900,32
2014,1,33,14900,32
2014,1,34,2500,32
2014,1,34,2500,32
2014,1,34,2500,32
2014,1,34,2500,32
2014,1,35,9400,32
2014,1,36,2300,32
2014,1,37,6400,32
2014,1,37,6400,32
2014,1,38,1500,32
2014,1,39,22300,32
2014,1,40,12600,32
2014,1,40,12600,32
2014,1,41,4300,32
2014,1,42,5600,32
2014,1,43,8200,32
2014,1,44,1600,32
2014,1,44,1600,32
2014,1,44,1600,32
2014,1,44,1600,32
2014,1,45,1800,32
2014,1,46,10400,32
2014,1,46,10400,32
2014,1,47,4500,32
2014,1,47,4500,32
2014,1,48,20900,32
2014,1,49,500,32
2014,1,50,6600,32
2014,1,51,30300,32
2014,1,52,9100,32
2014,1,53,11500,32
2014,1,53,11500,32
2014,1,53,11500,32
2014,1,54,3000,32
2014,1,55,5900,32
2014,1,56,5000,32
2014,1,56,5000,32
2014,1,56,5000,32
2014,1,57,7400,32
2014,1,58,24500,32
2014,1,58,24500,32
2014,1,59,2200,32
2014,1,60,6800,32
2014,1,60,6800,32
2014,1,60,6800,32
2014,1,60,6800,32
2014,1,61,7600,32
2014,1,61,7600,32
2014,1,62,10300,32
2014,1,63,7300,32
2014,1,64,8900,32
2014,1,65,500,32
2014,1,66,5600,32
2014,1,66,5600,32
2014,1,66,5600,32
2014,1,66,5600,32
2014,1,66,5600,32
2014,1,67,2100,32
2014,1,68,5800,32
2014,1,68,5800,32
2014,1,68,5800,32
2014,1,68,5800,32
2014,1,69,15900,32
2014,1,69,15900,32
2014,1,69,15900,32
2014,1,69,15900,32
2014,1,69,15900,32
2014,1,70,16600,32
2014,1,70,16600,32
2014,1,71,8000,32
2014,1,72,15900,32
2014,1,72,15900,32
2014,1,73,16700,32
2014,1,73,16700,32
2014,1,73,16700,32
2014,1,74,7100,32
2014,1,74,7100,32
2014,1,75,1600,32
2014,1,75,1600,32
2014,1,76,6900,32
2014,1,76,6900,32
2014,1,77,7300,32
2014,1,78,8600,32
2014,1,78,8600,32
2014,1,79,10800,32
2014,1,79,10800,32
2014,1,80,2400,32
2014,1,80,2400,32
2014,1,81,9300,32
2014,1,81,9300,32
2014,1,81,9300,32
2014,1,81,9300,32
2014,1,81,9300,32
2014,1,82,16900,32
2014,1,82,16900,32
2014,1,83,21300,32
2014,1,84,7200,32
2014,1,85,3700,32
2014,1,85,3700,32
2014,1,85,3700,32
2014,1,86,5900,32
2014,1,86,5900,32
2014,1,87,6500,32
2014,1,88,12100,32
2014,1,89,14600,32
2014,1,89,14600,32
2014,1,89,14600,32
2014,1,89,14600,32
2014,1,90,13400,32
2014,1,90,13400,32
2014,1,90,13400,32
2014,1,91,24900,32
2014,1,91,24900,32
2014,1,91,24900,32
2014,1,91,24900,32
2014,1,92,8200,32
2014,1,93,6400,32
2014,1,93,6400,32
2014,1,93,6400,32
2014,1,93,6400,32
2014,1,93,6400,32
2014,1,93,6400,32
2014,1,94,7100,32
2014,1,94,7100,32
2014,1,95,15300,32
2014,1,96,4800,32
2014,1,97,11300,32
2014,1,97,11300,32
2014,1,98,19900,32
2014,1,98,19900,32
2014,1,98,19900,32
2014,1,98,19900,32
2014,1,99,14600,32
2014,1,99,14600,32
2014,1,99,14600,32
2014,1,99,14600,32
2014,1,99,14600,32
2014,1,100,2400,32
2014,1,100,2400,32
2014,1,100,2400,32
2014,1,100,2400,32
2014,1,101,7300,32
2014,1,102,19400,32
2014,1,102,19400,32
2014,1,103,9300,32
2014,1,103,9300,32
2014,1,104,7700,32
2014,1,105,1600,32
2014,1,106,4100,32
2014,1,106,4100,32
2014,1,106,4100,32
2014,1,107,12500,32
2014,1,107,12500,32
2014,1,108,10400,32
2014,1,109,4000,32
2014,1,110,5900,32
2014,1,111,12100,32
2014,1,111,12100,32
2014,1,112,5900,32
2014,1,113,25200,32
2014,1,113,25200,32
